央视高清,#genre#
CCTV1综合,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv1hd8m/8000000
CCTV2财经,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv2hd8m/8000000
CCTV3综艺,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv38m/8000000
CCTV4中文国际,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv4hd8m/8000000
CCTV5体育,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv58m/8000000
CCTV5+体育赛事,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv5phd8m/8000000
CCTV6电影,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv6hd8m/8000000
CCTV7国防军事,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv7hd8m/8000000
CCTV8电视剧,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv8hd8m/8000000
CCTV9记录,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv9hd8m/8000000
CCTV10科教,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv10hd8m/8000000
CCTV11戏曲,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv11hd8m/8000000
CCTV12社会与法,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv12hd8m/8000000
CCTV13新闻,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv13xwhd8m/8000000
CCTV14少儿,http://jiandjh.51vip.biz:5678/bestv.php?id=cctvsehd8m/8000000
CCTV15音乐,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv15hd8m/8000000
CCTV16奥林匹克,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv16hd8m/8000000
CCTV17农业农村,http://jiandjh.51vip.biz:5678/bestv.php?id=cctv17hd8m/8000000
CCTV1综合,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-1H265_4000
CCTV2财经,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-2H265_4000
