🌎央视高清,#genre#
CCTV1综合,http://124.232.233.6:6060/000000001901/202200010002/index.m3u8?m3u8_level=2
CCTV2财经,http://124.232.233.6:6060/000000001901/202200010005/index.m3u8?m3u8_level=2
CCTV3综艺,http://124.232.233.6:6060/000000001901/202200010007/index.m3u8?m3u8_level=2
CCTV4中文国际,http://124.232.233.6:6060/000000001901/202200010009/index.m3u8?m3u8_level=2
CCTV5体育,http://124.232.233.6:6060/000000001901/202200010010/index.m3u8?m3u8_level=2
CCTV5+体育赛事,http://124.232.233.6:6060/000000001901/202200010013/index.m3u8?m3u8_level=2
CCTV6电影,http://124.232.233.6:6060/000000001901/202200010015/index.m3u8?m3u8_level=2
CCTV7国防军事,http://124.232.233.6:6060/000000001901/202200010091/index.m3u8?m3u8_level=2
CCTV8电视剧,http://124.232.233.6:6060/000000001901/202200010017/index.m3u8?m3u8_level=2
CCTV9记录,http://124.232.233.6:6060/000000001901/202200010019/index.m3u8?m3u8_level=2
CCTV10科教,http://124.232.233.6:6060/000000001901/202200010020/index.m3u8?m3u8_level=2
CCTV11戏曲,http://124.232.233.6:6060/000000001901/202200010021/index.m3u8?m3u8_level=2
CCTV12社会与法,http://124.232.233.6:6060/000000001901/202200010022/index.m3u8?m3u8_level=2
CCTV13新闻,http://124.232.233.6:6060/000000001901/202200010023/index.m3u8?m3u8_level=2
CCTV14少儿,http://124.232.233.6:6060/000000001901/202200010024/index.m3u8?m3u8_level=2
CCTV15音乐,http://124.232.233.6:6060/000000001901/202200010025/index.m3u8?m3u8_level=2
CCTV16奥林匹克,http://124.232.233.6:6060/000000001901/202200010026/index.m3u8?m3u8_level=2
CCTV17农业农村,http://124.232.233.6:6060/000000001901/202200010027/index.m3u8?m3u8_level=2
CCTV1综合,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?CONTENTID=00000110240127_1
CCTV2财经,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240244_1/encoder/0/playlist.m3u8?CONTENTID=00000110240244_1
CCTV3综艺,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?CONTENTID=00000110240245_1
CCTV4中文国际,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?CONTENTID=00000110240316_1
